,TABELA_DESTINO,TABELA_ORIGEM,TABELA_ORIGEM_SISTEMA,SISTEMA,ASSUNTO
13483,RL_CGO_REGRA_COMISSAO,STG_CGO_TCMDC,TCMDC,PANCRED,PANCRED
13485,RL_CGO_REGRA_COMISSAO,,TCMDC,PANCRED,PANCRED
13486,RL_CGO_CAD_USUARIO,STG_CGO_TUSU,TUSU,PANCRED,PANCRED
13491,RL_CGO_CAD_USUARIO,,TUSU,PANCRED,PANCRED
13493,RL_CGO_EXT_CONTABIL,STG_CGO_ECONTA,ECONTA,PANCRED,PANCRED
13635,RL_CCC_F08_PROPOSTA,,CCC_F08_PROPOSTA,CONSIGCARD,CARTOES
13658,RL_CCC_CRTCAMPINDICADO,STG_CCC_C242_CRTCAMPINDICADO,CCC_C242_CARTAOCAMPINDICADO,CONSIGCARD,CARTOES
13674,RL_CCC_CRTCAMPINDICADO,,CCC_C242_CARTAOCAMPINDICADO,CONSIGCARD,CARTOES
13676,RL_CCC_LOGPROCESSO,STG_CCC_C243_LOGPROCESSO,CCC_C243_LOGPROCESSO,CONSIGCARD,CARTOES
13683,RL_CCC_LOGPROCESSO,,CCC_C243_LOGPROCESSO,CONSIGCARD,CARTOES
13684,RL_CCC_CARTAOCOMISSAO,STG_CCC_C244_CARTAOCOMISSAO,CCC_C244_CARTAOCOMISSAO,CONSIGCARD,CARTOES
13714,RL_JUD_TBL_VARA,,VARA,JURIDICO,JURIDICO
13749,RL_JUD_TBL_WF_FASE,,WF_FASE,JURIDICO,JURIDICO
13847,RL_CCC_CARTAOCOMISSAO,,CCC_C244_CARTAOCOMISSAO,CONSIGCARD,CARTOES
13849,RL_CCC_ACUMULADOMESAJUSTE,STG_CCC_C245_ACUMULMESAJUSTE,CCC_C245_ACUMULADOMESAJUSTE,CONSIGCARD,CARTOES
13902,RL_JUD_TBL_CLIENT,,CLIENT,JURIDICO,JURIDICO
13946,RL_JUD_TBL_E_FILE,STG_JUD_TBL_E_FILE,E_FILE,JURIDICO,JURIDICO
14025,RL_CCC_ACUMULADOMESAJUSTE,,CCC_C245_ACUMULADOMESAJUSTE,CONSIGCARD,CARTOES
14027,RL_CCC_FECHCOMISSAO,STG_CCC_C245_FECHCOMISSAO,CCC_C245_FECHCOMISSAO,CONSIGCARD,CARTOES
14028,RL_CCC_FECHCOMISSAO,,CCC_C245_FECHCOMISSAO,CONSIGCARD,CARTOES
14030,RL_CCC_CONTRATOCARTAO,STG_CCC_C246_CONTRATOCARTAO,CCC_C246_CONTRATOCARTAO,CONSIGCARD,CARTOES
14046,RL_CCC_CONTRATOCARTAO,,CCC_C246_CONTRATOCARTAO,CONSIGCARD,CARTOES
14048,RL_CCC_CRTCOMISSAOFUNCAO,STG_CCC_C247_CRTCOMISSAOFUNCAO,CCC_C247_CARTAOCOMISSAOFUNCAO,CONSIGCARD,CARTOES
14118,RL_JUD_TBL_E_FILE,,E_FILE,JURIDICO,JURIDICO
14204,RL_JUR_TBL_TRA_PAGAMENTO,RL_JUR_TBL_INFOPROCESSO,RL_JUR_TBL_ESCRITORIO;RL_JUR_TBL_INFOPROCESSO;RL_JUR_TBL_NATUREZA;RL_JUR_TBL_PESSOA;RL_JUR_TBL_PROCESSO;RL_JUR_TBL_RELPAGREG;RL_JUR_TBL_RELPAGREGFATURA;,JURIDICO,JURIDICO
14210,RL_CCC_CRTCOMISSAOFUNCAO,,CCC_C247_CARTAOCOMISSAOFUNCAO,CONSIGCARD,CARTOES
14212,RL_CCC_CRTCOMISLANCFUNC,STG_CCC_C248_CRTCOMISLANCFUNC,CCC_C248_CARTAOCOMISLANCFUNCAO,CONSIGCARD,CARTOES
14215,RL_CCC_CRTCOMISLANCFUNC,,CCC_C248_CARTAOCOMISLANCFUNCAO,CONSIGCARD,CARTOES
14216,RL_CCC_CARTAOCOMISLIB,STG_CCC_C249_CARTAOCOMISLIB,CCC_C249_CARTAOCOMISLIB,CONSIGCARD,CARTOES
14221,RL_CCC_CARTAOCOMISLIB,,CCC_C249_CARTAOCOMISLIB,CONSIGCARD,CARTOES
14223,RL_CCC_CRTCOMISLIBANAL,STG_CCC_C250_CRTCOMISLIBANAL,CCC_C250_CARTAOCOMISSAOLIBANAL,CONSIGCARD,CARTOES
14226,RL_CCC_CRTCOMISLIBANAL,,CCC_C250_CARTAOCOMISSAOLIBANAL,CONSIGCARD,CARTOES
14227,RL_CCC_CARTAOCOMISPARC,STG_CCC_C251_CARTAOCOMISPARC,CCC_C251_CARTAOCOMISPARC,CONSIGCARD,CARTOES
